Category B Theory test revision question bank February 2025,,,,,,,,,,,,,,,,,,,,,,
Item,Topic,Answer,Stem,Mark Answer,OptionA,OptionB,OptionC,OptionD,Expl text,List Amendments,NI Exempt,Stem.gif,A.gif,B.gif,C.gif,D.gif,Stem HiRes,A HiRes,B HiRes,C HiRes,D HiRes,Cat B Book XRefs
AB2829,Alertness ,A,You're waiting to turn right at the end of a road. What should you do if your view is obstructed by parked vehicles?,Mark one answer,Stop and then move forward slowly and carefully for a clear view,Move quickly to where you can see so you only block traffic from one direction,Wait for a pedestrian to let you know when it's safe for you to emerge,Turn your vehicle around immediately and find another junction to use,"At junctions, your view is often restricted by buildings, trees or parked cars. You need to be able to see in order to judge a safe gap. Edge forward slowly and keep looking all the time. Do not cause other road users to change speed or direction as you emerge.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
24/9/2024:  Remove negative contraction",,,,,,,,,,,,DES s10
BB1002,Alertness ,A,There are objects hanging from your interior mirror. Why could this be a hazard?,Mark one answer,Your view could be obstructed,Your sun visor might get tangled,Your radio reception might be affected,Your windscreen could mist up more easily,Make sure that you can see clearly through the windscreen of your vehicle. Stickers or hanging objects could obstruct your view or draw your attention away from the road.,"5/8/2015:  5 August 2015 changed to Mark one answer
29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
7/2/2025:  Ensure to make sure",,,,,,,,,,,,"DES s1, HC p148"
BB1005,Alertness ,D,You're on a long motorway journey. What should you do if you start to feel sleepy?,Mark one answer,Play some loud music,Stop on the hard shoulder for a rest,Drive faster to complete your journey sooner,Leave the motorway and stop in a safe place ,"If you feel sleepy, you should leave the motorway at a service area or at the next exit and stop in a safe place to rest. A supply of fresh air can help to keep you alert before you reach the exit, but it’s not a substitute for stopping and resting.","5/8/2015:  5 August 2015 changed to Mark one answer
29/01/2016:  Continuation question re-written for accessibility
24/9/2024:  Remove negative contraction",,,,,,,,,,,,"?DES s1, HC r91, 262
"
BB1007,Alertness ,B,Why should you switch your headlights on when it first starts to get dark?,Mark one answer,To make your dials easier to see,So others can see you more easily,So that you blend in with other drivers,Because the street lights are lit,"Your headlights and tail lights help others on the road to see you. It may be necessary to turn on your headlights during the day if visibility is reduced; for example, due to heavy rain. In these conditions, the light might fade before the street lights are timed to switch on. Be seen to be safe.","5/8/2015:  5 August 2015 changed to Mark one answer
29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s13, HC r113–115"
BB1287,Alertness ,A,What’s most likely to distract you while you’re driving?,Mark one answer,Using a mobile phone,Using the windscreen wipers,Using the demisters,Using the mirrors,"Except for emergencies, it’s illegal to use a hand-held mobile phone while you're driving. Even using a hands-free kit can severely distract your attention.","5/8/2015:  5 August 2015 changed to Mark one answer
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s1, HC r149"
BB1294,Alertness ,B,You're driving your car. When may you use a hand-held mobile phone?,Mark one answer,When you're receiving a call,When you've parked safely,When you're driving at less than 30 mph,When your car has automatic transmission,"It's illegal to use a hand-held mobile phone while you're driving, except in a genuine emergency. Even using a hands-free kit can distract your attention. Park in a safe and convenient place before receiving or making a call or using text messaging. Then you'll also be free to take notes or refer to papers.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s1, HC r149"
BB1366,Alertness ,B,You're driving on a wet road. What should you do if you have to stop your vehicle in an emergency?,Mark one answer,Apply the parking brake and footbrake together,Keep both hands on the steering wheel,Select reverse gear,Give an arm signal,"As you drive, look well ahead and all around so that you’re ready for any hazards that might develop. If you have to stop in an emergency, react as soon as you can while keeping control of the vehicle. Keep both hands on the steering wheel so you can control the vehicle's direction of travel.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,DES s5
BB1390,Alertness ,B,What should you do when you move off from behind a parked car?,Mark one answer,Give a signal after moving off,Look around before moving off,Look around after moving off,Use the exterior mirrors only,"Before moving off, you should use both the interior and exterior mirrors to check that the road is clear. Look around to check the blind spots and, if necessary, give a signal to warn other road users of your intentions. Also look well ahead as you'll have to steer out into the road to pass the parked car.","5/8/2015:  5 August 2015 changed to Mark one answer
29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s4, 5, HC r159"
BB1439,Alertness ,C,You're travelling along this road. How should you pass the cyclist?,Mark one answer,Sound your horn as you pass,Keep close to them as you pass,Leave them plenty of room as you pass,Change down one gear before you pass,"Allow the cyclist plenty of room in case they wobble or swerve around a pothole or raised drain. Look well ahead before you start to overtake, because you'll need to cross the hazard line. Look for entrances where vehicles could be waiting to pull out. ","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,BB1439n1.gif,,,,,IMG_2018.jpg,,,,,"DES s10, HC r212"
BB1573,Alertness ,D,When do windscreen pillars cause a serious obstruction to your view?,Mark one answer,When you're driving on a motorway,When you're driving on a dual carriageway,When you're approaching a one-way street,When you're approaching bends and junctions,"Windscreen pillars can obstruct your view, particularly at bends and junctions. Look out for other road users – especially cyclists, motorcyclists and pedestrians who can easily be overlooked.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s5, 10"
BB1595,Alertness ,D,What should you do if you cannot see clearly behind when you're reversing?,Mark one answer,Open the window to look behind,Open the door to look behind,Look in the nearside mirror,Ask someone to guide you,"If you want to turn your car around, try to find a place where you have good all-round vision. If this is not possible, and you’re unable to see clearly, then get someone to guide you.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
24/9/2024:  Remove negative contractions",,,,,,,,,,,,"?DES s9, HC r202
"
BB1626,Alertness ,D,What does the term ‘blind spot’ mean?,Mark one answer,An area covered by your right-hand mirror,An area not covered by your headlights,An area covered by your left-hand mirror,An area not visible to the driver,"Modern vehicles provide the driver with a good view of both the road ahead and behind using well-positioned mirrors. However, the mirrors cannot see every angle of the scene behind and to the sides of the vehicle. It’s essential that you know when and how to check the vehicle's blind spots, so that you’re aware of any hidden hazards.","09/02/2016:  AB and BB Items edited by TSO for style
24/2/2017:  Re-written following comments from ColinThornicroft who was unhappy with the old question
25/7/2019:  Change following 2019 review
24/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s4, HC r159"
BB1629,Alertness ,D,What's likely to happen if you use a hands-free phone while you're driving?,Mark one answer,It will improve your safety,It will increase your concentration ,It will reduce your view ,It will divert your attention ,"Talking to someone while you're driving can distract you and, unlike when someone is in the car with you, the person on the other end of a mobile phone is unable to see the traffic situations you're dealing with. They will not stop speaking to you even if you're approaching a hazardous situation. You need to concentrate on your driving at all times.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
24/9/2024:  Remove negative contraction",,,,,,,,,,,,"?DES s1, HC r149"
BB1632,Alertness ,C,You're turning right onto a dual carriageway. What should you do before emerging?,Mark one answer,"Stop, apply the parking brake and then select a low gear",Position your vehicle well to the left of the side road,Check that the central reservation is wide enough for your vehicle,Make sure that you leave enough room for a vehicle behind,"Before emerging right onto a dual carriageway, make sure that the central reservation is deep enough to protect your vehicle. If it’s not, you should treat the dual carriageway as one road and check that it’s clear in both directions before pulling out. Neglecting to do this could place part or all of your vehicle in the path of approaching traffic and cause a collision.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
24/9/2024:  Remove negative contraction",,BB1632.gif,,,,,IMG_2815.jpg,,,,,"?DES s8, HC r173
"
BB1633,Alertness ,C,You're waiting to emerge from a junction. The windscreen pillar is restricting your view. What should you be particularly aware of?,Mark one answer,Lorries,Buses,Motorcyclists,Coaches,"Windscreen pillars can completely block your view of pedestrians, motorcyclists and cyclists. You should make a particular effort to look for these road users; do not just rely on a quick glance.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
24/9/2024:  Remove negative contraction",,BB1633.gif,,,,,VC1505.tif,,,,,"DES s10, HC r170"
BB1726,Alertness ,D,How can you make sure that a satellite navigation (sat nav) system does not distract you when you're driving?,Mark one answer,Turn it off while you're driving in built-up areas,Choose a voice that you find calming,Only set the destination when you're lost,Set it before starting your journey,"Sat navs can be useful when driving on unfamiliar routes. However, they can also distract you and cause you to lose control if you look at or adjust them while you're driving. Set the sat nav before starting your journey, or pull up in a safe place before making any changes to it.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
24/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s18, HC r150"
AB2012,Attitude,D,What must you do when the amber light is flashing at a pelican crossing?,Mark one answer,Stop and wait for the green light,Stop and wait for the red light,Give way to pedestrians waiting to cross,Give way to pedestrians already on the crossing,"Pelican crossings are signal-controlled crossings operated by pedestrians. Push-button controls change the signals. Pelican crossings have no red-and-amber stage before green; instead, they have a flashing amber light. This means you must give way to pedestrians who are on the crossing but if the crossing is clear you can continue.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s7, HC r196"
AB2015,Attitude,A,Why should you never wave people across at pedestrian crossings?  ,Mark one answer,Another vehicle may be coming,They may not be looking,It's safer for you to carry on,They may not be ready to cross,"If people are waiting to use a pedestrian crossing, slow down and be prepared to stop. Do not wave them across the road, because another driver may not have seen them, may not have seen your signal, and may not be able to stop safely.","29/01/2016:  Continuation question re-written for accessibility
24/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s7, HC r195"
AB2022,Attitude,C,Why is it dangerous to travel too close to the vehicle ahead?,Mark one answer,Your engine will overheat,Your mirrors will need adjusting,Your view of the road ahead will be restricted,Your sat nav will be confused,‘Tailgating’ is the term used when a driver or rider follows the vehicle in front too closely. It's dangerous because it restricts your view of the road ahead and leaves no safety margin if the vehicle in front needs to slow down or stop suddenly. Tailgating is often the underlying cause of rear-end collisions or multiple pile-ups. ,"29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
20/3/2020:  Stem changed to make it work for both car and motorcycle tests.",,,,,,,,,,,,"?DES s10, 11, HC r126"
AB2023,Attitude,D,What will happen if you follow this vehicle too closely?,Mark one answer,Your brakes will overheat,Your fuel consumption will be increased,Your engine will overheat,Your view ahead will be reduced,Staying back will increase your view of the road ahead. This will help you to see any hazards that might occur and give you more time to react.,"29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,AB2023n1.gif,,,,,IMG_1279.jpg,,,,,"?DES s7, 10, HC r222"
AB2025,Attitude,D,What's the minimum time gap you should leave when following a vehicle on a wet road?,Mark one answer,One second,Two seconds,Three seconds,Four seconds,"Water will reduce your tyres' grip on the road. The safe separation gap of at least two seconds in dry conditions should be doubled, to at least four seconds, in wet weather.",29/01/2016:  Continuation question re-written for accessibility,,,,,,,,,,,,"DES s7, 10, 11, HC r126"
AB2028,Attitude,B,"You're being overtaken by a long, heavily laden lorry. What should you do if it's taking a long time for it to overtake?",Mark one answer,Speed up,Slow down,Hold your speed,Change direction,"A long lorry with a heavy load will need more time to pass you than a car, especially on an uphill stretch of road. Slow down and allow the lorry to pass.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s7, HC r168"
AB2029,Attitude,B,Which vehicle will use a blue flashing beacon?,Mark one answer,Motorway maintenance,Bomb disposal,Snow plough,Breakdown recovery,"Emergency vehicles use blue flashing lights. If you see or hear one, move out of its way as soon as it's safe and legal to do so.",7/8/2015:  Amended made during the global change to 'Mark one answer',,,,,,,,,,,,?DES s7
AB2031,Attitude,A,What should you do if you're being followed by an ambulance showing flashing blue lights?,Mark one answer,Pull over as soon as it's safe to do so,Accelerate hard to get away from it,Maintain your speed and course,Brake harshly and stop well out into the road,Pull over in a place where the ambulance can pass safely. Check that there are no bollards or obstructions in the road that will prevent it from passing.,"29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s7, HC r219"
AB2033,Attitude,D,What type of emergency vehicle is fitted with a green flashing beacon?,Mark one answer,Fire engine,Road gritter,Ambulance,Doctor's car,A green flashing beacon on a vehicle means the driver or passenger is a doctor on an emergency call. Give way to them if it's safe to do so. Be aware that the vehicle may be travelling quickly or may stop in a hurry.,,,,,,,,,,,,,"?DES s7, HC r219"
AB2036,Attitude,A,Who should obey diamond-shaped traffic signs?,Mark one answer,Tram drivers,Bus drivers,Lorry drivers,Taxi drivers,"These signs apply only to tram drivers, but you should know their meaning so that you're aware of the priorities and are able to anticipate the actions of the driver.","29/01/2016:  Continuation question re-written for accessibility
23/11/2023:  Updates to cross references after new KYTS",,AB2036.gif,,,,,TS4023.tif,,,,,"?DES s7, HC r300, KYTS p34"
AB2037,Attitude,B,"On a road where trams operate, which vehicles will be most at risk from the tram rails?",Mark one answer,Cars,Cycles,Buses,Lorries,"The narrow wheels of a bicycle can become stuck in the tram rails, causing the cyclist to stop suddenly, wobble or even lose balance altogether. The tramlines are also slippery, which could cause a cyclist to slide or fall off.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"?DES s7, HC r306"
AB2040,Attitude,A,You're in a one-way street and want to turn right. Where should you position your vehicle when there are two lanes?,Mark one answer,In the right-hand lane,In the left-hand lane,"In either lane, depending on the traffic",Just left of the centre line,"When you’re in a one-way street and want to turn right, you should take up a position in the right-hand lane. This will allow other road users, not wishing to turn, to pass on the left. Indicate your intention and take up the correct position in good time.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s7, 8, HC r143"
AB2041,Attitude,C,You wish to turn right ahead. Why should you take up the correct position in good time?,Mark one answer,To allow other drivers to pull out in front of you,To give a better view into the road that you're joining,To help other road users know what you intend to do,To allow drivers to pass you on the right,"If you wish to turn right into a side road, take up your position in good time. Move to the centre of the road when it's safe to do so. This will allow vehicles to pass you on the left. Early planning will show other traffic what you intend to do.",09/02/2016:  AB and BB Items edited by TSO for style,,,,,,,,,,,,"DES s7, 8, HC r179"
AB2503,Attitude,A,Which type of crossing allows cyclists to ride across with pedestrians?,Mark one answer,Toucan,Puffin,Pelican,Zebra,A toucan crossing is designed to allow pedestrians and cyclists to cross at the same time. Look out for cyclists approaching the crossing at speed.,"25/7/2019:  Change following 2019 review
11/8/2020:  Changed for clarity since introduction of parallel crossings
23/11/2023:  Updates to cross references after new KYTS",,,,,,,,,,,,"?DES s7, HC r25, KYTS p145"
AB2620,Attitude,D,"You're travelling at the legal speed limit. What should you do if the vehicle behind approaches quickly, flashing its headlights?",Mark one answer,Accelerate to make a gap behind you,Touch the brakes sharply to show your brake lights,Maintain your speed to prevent the vehicle from overtaking,Allow the vehicle to overtake,Do not enforce the speed limit by blocking another vehicle’s progress. This will only cause frustration. Allow the other vehicle to pass when you can do so safely.,"29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
23/1/2020:  AB item - term 'driving' replaced with travelling and expl amended to suit both vehicle types.
24/9/2024:  Remove negative contraction",,,,,,,,,,,,"?DES s1, 11, HC r168"
AB2643,Attitude,D,When should you flash your headlights at other road users?,Mark one answer,When showing that you're giving way,When showing that you're about to turn,When telling them that you have right of way,When letting them know that you're there,"You should only flash your headlights to warn others of your presence. Do not use them to greet others, show impatience or give priority to other road users, because they could misunderstand your signal.","29/01/2016:  Continuation question re-written for accessibility
24/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s5, 10, HC r110-111"
AB2644,Attitude,D,You're approaching an unmarked crossroads. How should you deal with the junction?,Mark one answer,Accelerate and keep to the middle,Slow down and keep to the right,Accelerate and look to the left,Slow down and look both ways,"Be cautious, especially when your view is restricted by hedges, bushes, walls, large vehicles, etc. In the summer months, these junctions can become more difficult to deal with, because growing foliage may further obscure your view.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"?DES s8, HC r146"
AB2699,Attitude,B,The conditions are good and dry. When should you use the 'two-second rule'?,Mark one answer,Before restarting the engine after it has stalled,When checking your gap from the vehicle in front,Before using the 'Mirrors - Signal - Manoeuvre' routine,When traffic lights change to green,"In good conditions, the 'two-second rule' can be used to check the distance between your vehicle and the one in front. This technique works on roads carrying faster traffic. Choose a fixed object, such as a bridge, sign or tree. When the vehicle ahead passes this object, say to yourself 'Only a fool breaks the two-second rule.' If you reach the object before you finish saying this, you're too close.",29/01/2016:  Continuation question re-written for accessibility,,,,,,,,,,,,"DES s7, 10, 11, HC r126"
AB2703,Attitude,C,Which colour follows the green signal at a puffin crossing?,Mark one answer,Steady red,Flashing amber,Steady amber,Flashing green,Puffin crossings have infra-red sensors that detect when pedestrians are crossing and hold the red traffic signal until the crossing is clear. The use of a sensor means there's no flashing amber phase as there is with a pelican crossing.,"09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s7, HC r199"
AB2704,Attitude,B,You're in a line of traffic. What action should you take if the driver behind is following very closely?,Mark one answer,Ignore the driver behind and continue to travel within the speed limit,"Slow down, gradually increasing the gap between you and the vehicle in front",Signal left and wave the driver behind to come past,Move over to a position just left of the centre line of the road,"If the driver behind is following too closely, there’s a danger they’ll collide with the back of your vehicle if you stop suddenly. You can reduce this risk by slowing down and increasing the safety margin in front of you. This reduces the chance that you’ll have to stop suddenly and allows you to spread your braking over a greater distance. This is an example of defensive driving.","4/8/2015:  Expl text amended to try and give improved clarity as this seems to be a misunderstood concept.
09/02/2016:  AB and BB Items edited by TSO for style
18/7/2016:  Expl text - 'car' changed to 'vehicle' as its a shared car or motorcycle question.
25/7/2019:  Change following 2019 review",,,,,,,,,,,,"DES s7, 10, 11, HC r126"
AB2956,Attitude,D,You’re travelling along a single-track road. There’s a passing place on your right. What should you do if you see a vehicle coming towards you?,Mark one answer,Continue along the single-track road,Stop in the passing place,Move over onto the verge,Wait opposite the passing place ,"When you meet oncoming vehicles on a single-track road, you should allow them to pass. You should pull into a passing place on your left or wait opposite a passing place on your right. Do not move onto the verge as there may be hidden hazards.",17/10/2022:  New Item,,,,,,,,,,,,"DES s10, HC r155"
BB1011,Attitude ,C,You're driving on a clear night. Which lights should you use if the national speed limit applies and there's a steady stream of oncoming traffic?,Mark one answer,Full-beam headlights,Sidelights,Dipped headlights,Fog lights,Use the full-beam headlights only when you can be sure that you will not dazzle other road users.,"09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review
24/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s13, HC r113–115"
BB1012,Attitude ,A,You're driving behind a heavy goods vehicle. What should you do if it signals left but steers to the right?,Mark one answer,Slow down and let the vehicle turn,"Drive on, keeping to the left",Overtake on the right of it,Hold your speed and sound your horn,"Large, long vehicles need extra room when making turns at junctions. They may move out to the right in order to make a left turn. Keep well back and do not attempt to pass them on their left.","29/01/2016:  Continuation question re-written for accessibility
4/12/2023:  Stem changed for consistent use of term ‘heavy goods vehicle’.
24/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s10, HC r221"
BB1013,Attitude ,C,You're driving along this road. What should you do if the red car cuts in close in front of you?,Mark one answer,Accelerate to get closer to the red car,Give a long blast on the horn,Drop back to leave the correct separation distance,Flash your headlights several times,"There are times when other drivers make incorrect or ill-judged decisions. Be tolerant and try not to retaliate or react aggressively. Always consider the safety of other road users, your passengers and yourself.","09/02/2016:  AB and BB Items edited by TSO for style
25/7/2019:  Change following 2019 review",,BB1013n1.gif,,,,,85BW1457.jpg,,,,,"?DES s10, HC r168
"
BB1014,Attitude ,A,You're waiting in a traffic queue at night. How can you avoid dazzling drivers behind you? ,Mark one answer,Use the parking brake and release the footbrake,Keep your foot on the footbrake,Balance the clutch with the accelerator,Use the parking brake and footbrake together,"In queuing traffic, your brake lights can dazzle drivers behind you. If you apply your parking brake, you can take your foot off the footbrake. This will turn off the brake lights so that they do not dazzle the driver behind you.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
24/9/2024:  Remove negative contraction",,,,,,,,,,,,"DES s13, HC r114"
BB1016,Attitude ,C,You're driving in traffic at the speed limit for the road. What should you do if the driver behind is trying to overtake?,Mark one answer,"Move closer to the car ahead, so the driver behind has no room to overtake",Wave the driver behind to overtake when it's safe,Keep a steady course and allow the driver behind to overtake,Accelerate to get away from the driver behind,"Keep a steady course to give the driver behind an opportunity to overtake safely. If necessary, slow down. Reacting incorrectly to another driver's impatience can lead to danger.",29/01/2016:  Continuation question re-written for accessibility,,,,,,,,,,,,"DES s10, HC r168"
BB1022,Attitude ,C,What does it mean if the signs at a bus lane show no times of operation?,Mark one answer,The lane is not in operation,The lane is only in operation at peak times,The lane is in operation 24 hours a day,The lane is only in operation in daylight hours,"Bus-lane signs show the vehicles allowed to use the lane and its times of operation. Where no times are shown, the bus lane is in operation 24 hours a day.","29/01/2016:  Continuation question re-written for accessibility
25/7/2019:  Change following 2019 review
23/8/2019:  Image changed to better suit question
23/11/2023:  Updates to cross references after new KYTS
24/9/2024:  Remove negative contraction",,BB1022n1.gif,,,,,Bus Lane_no_times.eps,,,,,"?DES s6, HC r141, KYTS p35"
BB1026,Attitude ,B,What should you do when a person herding sheep asks you to stop?,Mark one answer,Ignore them as they have no authority,Stop and switch off your engine,Continue on but drive slowly,Try to get past quickly,"If someone in charge of animals asks you to stop, you should do so and switch off your engine. Animals are unpredictable and startle easily; they could turn and run into your path or into the path of another moving vehicle.",29/01/2016:  Continuation question re-written for accessibility,,,,,,,,,,,,"?DES s1, 10, HC r214"
BB1027,Attitude ,D,What should you do when you're overtaking a horse and rider?,Mark one answer,Sound your horn as a warning,Go past as quickly as possible,Flash your headlights as a warning,Go past slowly and carefully,Horses can be startled by the sound of a car engine or the rush of air caused by a vehicle passing too closely. Keep well back and only pass when it's safe. Leave them plenty of room; you may have to use the other side of the road to go past safely.,29/01/2016:  Continuation question re-written for accessibility,,,,,,,,,,,,"?DES s10, HC r215"
